System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:53:32:444, 972603072144104,    1.010,    5.000, 1200,   8.730,   8.818,   2.450,   7.321,   7.395,   2.054, 59,  0,   0.435,   0.440,   0.122,   0.004,   0.004,   0.001,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.030
19:53:33:464, 972605713698220,    2.029,    4.000, 4300,   3.946,  12.840,   3.567,   2.910,  10.361,   2.878, 58,  0,   0.430,   0.878,   0.244,   0.007,   0.011,   0.003,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.024
19:53:34:475, 972608334014410,    3.040,    4.000, 4400,   3.189,  16.063,   4.462,   2.187,  12.571,   3.492, 71,  0,   0.414,   1.297,   0.360,   0.004,   0.015,   0.004,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.027
19:53:35:495, 972610978500116,    4.060,    3.000, 1100,   5.811,  21.991,   6.109,   4.691,  17.357,   4.822, 53,  0,   0.426,   1.732,   0.481,   0.006,   0.021,   0.006,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.015
19:53:36:510, 972613611160796,    5.076,    3.000,  900,   2.870,  24.906,   6.918,   1.943,  19.331,   5.370, 51,  0,   0.419,   2.158,   0.599,   0.007,   0.028,   0.008,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.019
19:53:37:528, 972616248359576,    6.094,    4.000, 4300,  11.386,  36.490,  10.136,  10.011,  29.517,   8.199, 55,  0,   0.448,   2.614,   0.726,   0.011,   0.040,   0.011,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.040
19:53:38:539, 972618868041168,    7.104,    6.000, 4300,  12.828,  49.455,  13.738,  11.164,  40.800,  11.333, 58,  0,   0.531,   3.150,   0.875,   0.060,   0.101,   0.028,  60.000, 107.000, 163.000,   0.000, 220.000,    9,   0.569
19:53:39:550, 972621489299166,    8.115,    6.000, 4200,   9.538,  59.101,  16.417,   7.868,  48.757,  13.544, 55,  0,   0.488,   3.644,   1.012,   0.056,   0.157,   0.044,  60.000, 107.000, 163.000,   0.000, 220.000,    8,   0.504
19:53:40:564, 972624118850674,    9.130,    5.000, 4000,   5.020,  64.193,  17.832,   3.822,  52.634,  14.621, 52,  0,   0.439,   4.089,   1.136,   0.006,   0.163,   0.045,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.020
19:53:41:577, 972626744194404,   10.143,    5.000, 4500,  10.322,  74.648,  20.735,   8.822,  61.570,  17.103, 55,  0,   0.454,   4.549,   1.264,   0.020,   0.183,   0.051,  60.000, 107.000, 163.000,   0.000, 220.000,    3,   0.170
19:53:42:590, 972629370702928,   11.156,    3.000,  900,   3.600,  78.295,  21.749,   2.508,  64.112,  17.809, 51,  0,   0.431,   4.985,   1.385,   0.013,   0.196,   0.054,  60.000, 107.000, 163.000,   0.000, 220.000,    2,   0.074
19:53:43:607, 972632005850796,   12.173,    4.000, 4400,   6.142,  84.540,  23.483,   4.912,  69.105,  19.196, 52,  0,   0.424,   5.416,   1.504,   0.007,   0.203,   0.056,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.020
19:53:44:620, 972634632442524,   13.186,    4.000, 4300,   7.038,  91.672,  25.464,   5.590,  74.770,  20.770, 55,  0,   0.464,   5.887,   1.635,   0.032,   0.235,   0.065,  60.000, 107.000, 163.000,   0.000, 220.000,    4,   0.241
19:53:45:639, 972637272095264,   14.205,    4.000, 4100,   6.272,  98.059,  27.239,   5.103,  79.967,  22.213, 52,  0,   0.423,   6.317,   1.755,   0.007,   0.243,   0.067,  60.000, 107.000, 163.000,   0.000, 220.000,    0,   0.031
19:53:46:655, 972639906556274,   15.221,    4.000,  800,   3.026, 101.135,  28.093,   1.856,  81.854,  22.737, 51,  0,   0.431,   6.755,   1.876,   0.016,   0.259,   0.072,  60.000, 107.000, 163.000,   0.000, 220.000,    2,   0.175
19:53:47:666, 972642527755602,   16.232,    5.000,  900,   6.412, 107.620,  29.894,   5.289,  87.203,  24.223, 51,  0,   0.426,   7.186,   1.996,   0.007,   0.266,   0.074,  60.000, 107.000, 163.000,   0.000, 220.000,    1,   0.019

Total Elapsed Time (sec) = 16.232186
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 107.619507
Cumulative Processor Energy_0 (mWh) = 29.894307
Average Processor Power_0 (Watt) = 6.630007

Cumulative IA Energy_0 (Joules) = 87.202820
Cumulative IA Energy_0 (mWh) = 24.223006
Average IA Power_0 (Watt) = 5.372216

Cumulative DRAM Energy_0 (Joules) = 7.185547
Cumulative DRAM Energy_0 (mWh) = 1.995985
Average DRAM Power_0 (Watt) = 0.442673

Cumulative GT Energy_0 (Joules) = 0.266235
Cumulative GT Energy_0 (mWh) = 0.073954
Average GT Power_0 (Watt) = 0.016402
